2006 年 —— 2022 年新农合缴费清单（16 年涨 35 倍）

| 年份 | 费用 | 上涨 | 涨幅 |
|:----:|-----:|:----:|-----:|
| 2022 | 350  |  30  |   9% |
| 2021 | 320  |  40  |  14% |
| 2020 | 280  |  30  |  12% |
| 2019 | 250  |  10  |   4% |
| 2018 | 240  |  20  |   9% |
| 2017 | 220  |  20  |  10% |
| 2016 | 200  |  20  |  11% |
| 2015 | 180  |  30  |  20% |
| 2014 | 150  |  30  |  25% |
| 2013 | 120  |  20  |  20% |
| 2012 | 100  |  20  |  25% |
| 2011 |  80  |  20  |  33% |
| 2010 |  60  |  10  |  20% |
| 2009 |  50  |  20  |  66% |
| 2008 |  30  |  10  |  50% |
| 2007 |  20  |  10  | 100% |
| 2006 |  10  |  /   |  /   |
